Test Case ID,Test Scenario,Precondition,Test Condition,Test Case Steps,Test Data,Expected Result
<Sequence number>,<Identify test scenarios>,<This cell specifies the state a system and its environment must be in before this specific test case can be run>,<This cell describes what to test for i.e. the condition which is being tested for>,<This cell describes how to test i.e. the detailed testing procedure>,<Mention test data to be used>,<Describe the expected test result>
TC_Services_01,TS_Services_01,User is able to open the browser and enter the website URL,To validate that when website url is entered in the browser it opens the website.,"1. Open Browser
2. Enter URL for the website


",https://www.apollo247.com/,It should open services page
TC_Services_02,TS_Services_01,User is able to enter the website URL in all browsers,To validate that website is displayed correctly in all the browsers,"1. Open Browser
2. Enter URL for the website
3. Visit different pages and features of website.
4. Follow the same steps in different browsers
",,It should display the content of  website correctly in all browsers.
TC_Services_03,TS_Services_01,User is able to see all the details in all browsers,To validate that website is displayed correctly in all the browsers,"1. Open Browser
2. Enter URL for the website
3. Visit different pages and features of website.
4. Follow the same steps in different browsers
",,User can perform all tasks  
TC_Online Doctor Consulation_01,TS_Online Doctor Consulation_01, User should find search option for doctors,To validate that user is able to search doctors by their names,"1.click on the search bar
2. type the name to be searched


","""raj""",user should show searched doctors list
TC_Online Doctor Consulation_02,TS_Online Doctor Consulation_01, search bar is visible,To validate if invalid names or empty field are entered by user,"1.click on the search bar
2.enter a input


",""" ""/""abbaaa""",should show 'invalid data entered' text message
TC_Online Doctor Consulation_03,TS_Online Doctor Consulation_01, User should enter city name ,To validate that user is able to search doctors by their city names,"1.click the type bar
2.type the city name


","""Bangalore""",doctors list by this city names should be displayed
TC_Online Doctor Consulation_04,TS_Online Doctor Consulation_01,should click on the select particular location,To validate that user is able to enter the location,"select location option on the webpage
   
","""Banaswadi""",location should be added 
TC_Online Doctor Consulation_05,TS_Online Doctor Consulation_01, date selecting option should be selected,To validate that user is able to select the date,select date option on the website    ,"""27/02/2024""",date should be added
TC_Online Doctor Consulation_06,TS_Online Doctor Consulation_01,all specialities should be visible to select,To validate that user is able to choose specific speciality,"1.select speciality option
2.Select one","""Cardiology""", user should be able to select speciality 
TC_Online Doctor Consulation_07,TS_Online Doctor Consulation_01, User should enter the details ,To validate if data is getting submitted ,Click submit button,,details should be submitted
TC_Online Doctor Consulation_08,TS_Online Doctor Consulation_01,all symptoms to select and to type should be visible,To validate that user is able to enter their symptoms,"
1. Enter symptoms option
2. select the symptoms user is suffering from","""Headache""",user should be able to select specific symptoms
TC_Online Doctor Consulation_09,TS_Online Doctor Consulation_01,enter a specific speciality,To validate that user is able to view a list of doctors by their speciality,"1.list of speciality are displayed
2.Click on specific speciality to view full list of doctors",,doctors of that speciality should be displayed
